Period,MLR_No,Licensee_Name_Eng,Licensee_Name_Chi,Hotline,Third_Party_Eng,Third_Party_Chi,Third_Party_Addr_Eng,Third_Party_Addr_Chi,Reg_Date
As at 12:00 noon of 3 January 2022 ,5930,1 Plus 1 Finance Limited,壹加壹財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5762,10 Million Credit Limited,千萬信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5172,168 Capital Limited,168 資本有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5045,168 Finance Services Limited,-,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5873,168 Imperial City Finance Limited,168皇城財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5415,18 Finance Company Limited,18信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5227,1st Partner Finance Limited,佰立信貸有限公司,2868 1499,UNITRUTH CORPORATE CONSULTANT FIRM,真富道企業顧問行,"Flat/Rm. 2301, Blk. B3-B4, Nan Fung Centre, Tsuen Wan, N.T.",,25/9/2019
As at 12:00 noon of 3 January 2022 ,5227,1st Partner Finance Limited,佰立信貸有限公司,2868 1499,ENRICH CAPITAL LIMITED ,天窗資本有限公司,"UNIT A, 17/F., No.78 HUNG TO ROAD, KWUN TONG, KOWLOON",,5/12/2019
As at 12:00 noon of 3 January 2022 ,5227,1st Partner Finance Limited,佰立信貸有限公司,2868 1499,DELUXE ASIA COMPANY ,豐盛亞洲公司,,九龍觀塘偉業街茂興工業大廈9樓B3室,20/1/2020
As at 12:00 noon of 3 January 2022 ,5227,1st Partner Finance Limited,佰立信貸有限公司,2868 1499,WEATHLY FLOW PLANNING FIRM,匯盈策劃,"Rm. 1603, 16/F.,No.33 Argyle St., Mongkok, Kowloon",,27/1/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,EASY GROUP WEALTH MANAGEMENT LIMITED ,易財富管理有限公司,"Office D-F, 23/F, No.8 Hart Avenue, Tsim Sha Tsui, Kln",,1/4/2021
