Licence No.(牌照編號),Name of TCSP Licensee in English(持牌人的英文姓名／名稱),Name of TCSP Licensee in Chinese(持牌人的中文姓名／名稱),Business Address(營業地址),Remarks in English(英文備註),Remarks in Chinese(中文備註)
TC000002,FULLYEAR CONSULTANTS LIMITED,富年顧問有限公司,"UNIT B, 12/F, KA NIN WAH COMMERCIAL BUILDING, 423-425 HENNESSY ROAD, WAN CHAI, HONG KONG",,
TC000003,TRILLION CAPITAL CORPORATE SERVICES LIMITED,盈豐企業顧問有限公司,"ROOM 1409, 14/F, HARBOUR CENTRE, 25 HARBOUR ROAD, WAN CHAI, HONG KONG",,
TC000005,MANIVEST ASIA LIMITED,宏傑亞洲有限公司,"UNIT 1405-1407, DOMINION CENTRE, 43-59 QUEEN'S ROAD EAST, WAN CHAI, HONG KONG",,
TC000006,WINSHIP CONSULTANTS LIMITED,捷誼顧問有限公司,"FLAT/ROOM 14, 7/F, WING ON PLAZA, 62 MODY ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG",,
TC000007,INTERNATIONAL BUSINESS BROKERAGE ADVISORY LIMITED,創峰商務有限公司,"ROOM 602, 6/F, 168 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,
TC000009,S & F SECRETARIAL SERVICES LIMITED,和橋秘書服務有限公司,"UNIT D, 9/F, KAI CENTRE, 36 HUNG TO ROAD, KWUN TONG, KOWLOON, HONG KONG",,
TC000010,EVERGOLD NOMINEES LIMITED,,"8/F, ASIA STANDARD TOWER, 59-65 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,
TC000011,FU TANG SECRETARIAL SERVICES LIMITED,富騰秘書服務有限公司,"13/F, LKF29, 29 WYNDHAM STREET, CENTRAL, HONG KONG",,
TC000012,SQUARE ONE CORPORATION LIMITED,,"ROOMS 502-503, 5/F, WANCHAI COMMERCIAL CENTRE, 194-204 JOHNSTON ROAD, WAN CHAI, HONG KONG",,
TC000013,CHK CORPORATE SERVICES LIMITED,中港商業服務有限公司,"SUITE A, 12/F, RITZ PLAZA, 122 AUSTIN ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG",,
TC000014,REGAL VIEW (HK) LIMITED,浚滙(香港)有限公司,"FLAT/RM 1107, 11/F, CELEBRITY COMMERCIAL CENTRE, 64 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON, HONG KONG",,
TC000015,CITY BUSINESS DYNAMIC COMPANY LIMITED,全城商業躍動有限公司,"OFFICE K, 15/F, MG TOWER, 133 HOI BUN ROAD, KWUN TONG, KOWLOON, HONG KONG",,
TC000016,WOOCO SECRETARIAL SERVICES LIMITED,,"ROOM 1225, 12/F, PRINCE'S BUILDING, 10 CHATER ROAD, CENTRAL, HONG KONG",,
TC000017,FOCUS WIN LIMITED,豐展有限公司,"UNITS 1102-03, 11/F, 9 QUEEN'S ROAD CENTRAL, HONG KONG",,
TC000018,MLS COMPANY SECRETARY LIMITED,,"UNITS 904-907, 9/F, DAH SING FINANCIAL CENTRE, 248 QUEEN'S ROAD EAST, WAN CHAI, HONG KONG",,
TC000019,YYP LIMITED,,"FLAT/ROOM V, 14/F, CHERRY BUILDING, 35A OAK STREET, TAI KOK TSUI, KOWLOON, HONG KONG",,
TC000020,ULTIMATE SECRETARIAL LIMITED,,"ROOM 805, 8/F, GOLDEN GATE COMMERCIAL BUILDING, 136-138 AUSTIN ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG",,
TC000021,INTERSHORES FINANCIAL SERVICES LIMITED,聯岸金融服務有限公司,"ROOM 712, 7/F, YIP FUNG BUILDING, 2-18 D'AGUILAR STREET, CENTRAL, HONG KONG",,
TC000022,GREBENSTEIN INTERNATIONAL LIMITED,金百頓國際有限公司,"FLAT/RM 1106, 11/F, GOLDEN GATE COMMERCIAL BUILDING, 136-138 AUSTIN ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG",,
TC000023,ANCO BUSINESS SERVICES LIMITED,匡盈商務有限公司,"FLAT/RM 1102, 11/F, CHUNG YING BUILDING, 20-20A CONNAUGHT ROAD WEST, SHEUNG WAN, HONG KONG",,
TC000024,TRADE HONOUR LIMITED,業誠有限公司,"SUITE 1704, 17/F, THE CHINESE BANK BUILDING, 61-65 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG",,
TC000025,GREAT TREASURE CONSULTANTS LIMITED,偉寶顧問有限公司,"FLAT/ROOM 1607, 16/F, WELLBORNE COMMERCIAL CENTRE, 8 JAVA ROAD, NORTH POINT, HONG KONG",,
TC000026,JINETIC CONSULTANTS LIMITED,進領顧問有限公司,"ROOM 22B, 22/F, KIU YIN COMMERCIAL BUILDING, 361-363 LOCKHART ROAD, WAN CHAI, HONG KONG",,
TC000027,HONGKONG BEST-SHINE LIMITED,香港百齊勝有限公司,"FLAT/ROOM 802, 8/F, WORKINGPORT COMMERCIAL BUILDING, 3 HAU FOOK STREET, TSIM SHA TSUI, KOWLOON, HONG KONG",,
TC000028,RIBEIRO HUI SERVICES LIMITED,,"6/F, WILSON HOUSE, 19-27 WYNDHAM STREET, CENTRAL, HONG KONG",,
TC000029,KCH SECRETARIAL LIMITED,,"18/F, HENLEY BUILDING, 5 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,
TC000030,WEST UNION GLOBAL LIMITED,,"7/F, MW TOWER, 111 BONHAM STRAND, SHEUNG WAN, HONG KONG",,
TC000031,GATEWAY REGISTRATIONS LIMITED,港威註冊有限公司,"14/F, CHUN WO COMMERCIAL CENTRE, 25 WING WO STREET, CENTRAL, HONG KONG",,
TC000032,IPRO PROFESSIONAL SERVICES LIMITED,逸駿專業服務有限公司,"16/F, RICH BUILDING, 28 ORMSBY STREET, CAUSEWAY BAY, HONG KONG",,
TC000033,ALPHALAW LIMITED,香港網智有限公司,香港上環文咸東路50號寶恆商業中心1705室,,
TC000034,MW ACCOUNTING AND SECRETARIAL SERVICES LIMITED,敏華會計秘書服務有限公司,"10/F, NEW HENNESSY TOWER, 263 HENNESSY ROAD, WAN CHAI, HONG KONG",,
TC000035,LODESTAR SECRETARIES LIMITED,北極星秘書有限公司,"13/F, WAH KIT COMMERCIAL CENTRE, 302 DES VOEUX ROAD CENTRAL, SHEUNG WAN, HONG KONG",,
TC000036,KAM FUNG AGENT (HK) LIMITED,錦鋒代理(香港)有限公司,"UNIT 5, 4/F, FO TAN INDUSTRIAL CENTRE, 26-28 AU PUI WAN STREET, FO TAN, NEW TERRITORIES, HONG KONG",,
