MLR_No,Period,Name_Eng,Name_Chi
1417,As at 30 November 2021,"Sky Height (China, Hong Kong) Shooting & Entertaining Co. Limited",中港天外天射擊娛樂有限公司
1529,As at 30 November 2021,Luk Fai Investment Limited,陸輝置業有限公司
1684,As at 30 November 2021,Mountainous Ride Development Limited,越峰發展有限公司
1752,As at 30 November 2021,"Chailease Trading (Hong Kong) Co., Limited",迪和興業有限公司
1924,As at 30 November 2021,Kaiser Finance Limited (MLR 1924),凱旋財務有限公司
2903,As at 30 November 2021,Boston Finance & Services Limited,
2909,As at 30 November 2021,Hong Kong International Credit Limited,
3584,As at 30 November 2021,Apple Finance Company Limited,蘋果信貸有限公司
3614,As at 30 November 2021,Citi Profit Finance Limited,聯信財務有限公司
3818,As at 30 November 2021,Paragon Mortgage Limited,宏進物業按揭有限公司
4267,As at 30 November 2021,Ka Wai Finance Limited,嘉威財務有限公司
4573,As at 30 November 2021,Long Journey Finance Limited,長程財務有限公司
4700,As at 30 November 2021,Kellett Corporate Secretarial Limited,眾安公司秘書有限公司
4812,As at 30 November 2021,Bloom Dragon Finance Limited,興龍財務有限公司
4880,As at 30 November 2021,Profit Star Finance Limited,利陞信貸有限公司
5127,As at 30 November 2021,"Gracie Point International, Limited",
5401,As at 30 November 2021,Noricap Finance Company Limited,君裕(香港)財務有限公司
5706,As at 30 November 2021,Enrich Finance Limited,浚富財務有限公司
5996,As at 30 November 2021,Wing Yam International Limited,永鑫國際有限公司
6137,As at 30 November 2021,"CR (Hong Kong) Treasury Management Co., Limited",鐵工(香港)財資管理有限公司
6138,As at 30 November 2021,Sky Grand Credit Limited,天宏信貸有限公司
6139,As at 30 November 2021,On Time Finance Limited,即時信貸有限公司
6140,As at 30 November 2021,China Huadian Overseas Asset Management Company Limited ,中國華電海外資產管理有限公司
6141,As at 30 November 2021,Yam Fung Finance Limited,鑫灃財務有限公司
6142,As at 30 November 2021,Upbest International Limited,焯豫國際有限公司
6143,As at 30 November 2021,Trillion Growth Holding Limited,
6144,As at 30 November 2021,Sincerity Finance Limited,忠誠借貸有限公司
6145,As at 30 November 2021,Righteous Light Credit Limited,孚道信貸有限公司
6146,As at 30 November 2021,Hang Tat Finance Limited,衡達財務有限公司
6147,As at 30 November 2021,Ease and Wealth Limited,易盈富有限公司
6148,As at 30 November 2021,Grand Plaza Finance Limited,快得財務有限公司
6149,As at 30 November 2021,11111 Limited,
6150,As at 30 November 2021,Top Wisdom International Holding Limited,盛智國際控股有限公司
