MLR_No,Period,Name_Eng,Name_Chi,Remarks
6,As at 31 October 2023,Wai Wai Company,威威公司,D
16,As at 31 October 2023,Hung Fai Money Lending Co.,鴻輝貸款公司,D
38,As at 31 October 2023,Unipacific Finance (Internationale) Limited,太平洋金融(國際)有限公司,W
62,As at 31 October 2023,Wai King Money Lending Co.,偉景貸款公司,W
64,As at 31 October 2023,Yan Yin Co. Ltd.,欣然有限公司,D
65,As at 31 October 2023,Inter Pacific Credit Finance Ltd.,,D
74,As at 31 October 2023,Nanyang Credit Card Co. Ltd.,南洋信用卡有限公司,W
79,As at 31 October 2023,Chung Po Enterprise & Money Lending Company,眾寶貸款貿易公司,D
89,As at 31 October 2023,Grindlays Asia Limited,建利企業有限公司,W
95,As at 31 October 2023,J. J. Investment Limited,,D
115,As at 31 October 2023,Wing Tung Financial Company,永通財務公司,D
122,As at 31 October 2023,Mutual Investment Co.,合眾投資公司,D
129,As at 31 October 2023,Tai Cheong Money Lender Company,大昌貸款公司,D
139,As at 31 October 2023,Fast Company,快捷貸款財務公司,W
146,As at 31 October 2023,Shun Cheong Loan Company,信昌貸款公司,W
147,As at 31 October 2023,Po Tai Finance Company,保泰財務公司,D
152,As at 31 October 2023,Dannies Land And Finance Company Limited,其康置業財務有限公司,W
156,As at 31 October 2023,Sean Finance Limited,商業財務有限公司,D
192,As at 31 October 2023,Yau Luen Financial Company,友聯財務公司,D
194,As at 31 October 2023,Kong Fuk Hing,廣復興貸款公司,D
200,As at 31 October 2023,Oriental Enterprises Co. Ltd.,東華企業有限公司,W
201,As at 31 October 2023,Tricot Products Limited,得利有限公司,W
206,As at 31 October 2023,Shiu Yick Money Lending Co.,兆億貸款公司,W
214,As at 31 October 2023,Forich Finance Limited,科發財務投資有限公司,D
217,As at 31 October 2023,Bonanza Finance Company,寶興財務公司,D
219,As at 31 October 2023,Tai Por Square Company,大坡坊公司,D
225,As at 31 October 2023,Gala Land Investment Co. Ltd.,華大置業有限公司,W
235,As at 31 October 2023,Cheung Cheung-Wing,張昌榮,D
252,As at 31 October 2023,Fung Luen Trading & Money-Lending Co.,豐年貸款公司,W
264,As at 31 October 2023,Kwong Fat Hong,廣發行集團,W
292,As at 31 October 2023,Troika Investment Limited,三高投資有限公司,W
295,As at 31 October 2023,Kwan Yick Money-Lending Company,群益貸款公司,D
298,As at 31 October 2023,Po Fung Trading & Finance Company,寶峰貿易財務公司,D
315,As at 31 October 2023,Harps & Company Limited,合持有限公司,W
324,As at 31 October 2023,Kam Wah Credits Company,金華貸款公司,D
332,As at 31 October 2023,Fair Finance Company Limited,泛亞財務有限公司,D
347,As at 31 October 2023,Royce International Finance Corporation,利萊國際財務集團,D
350,As at 31 October 2023,Kam Po Finance Company Limited,,W
369,As at 31 October 2023,Leader Money-Lender Company,利得貸款公司,W
378,As at 31 October 2023,Wilson Company,威信財務公司,D
379,As at 31 October 2023,Hai Lee Loi Company,喜利來公司,W
388,As at 31 October 2023,Chancery Finance Limited -The-,卓宇財務有限公司,W
408,As at 31 October 2023,H. Chui's Company,,D
410,As at 31 October 2023,Wai Fung Personal Loans Co.,惠風財務公司,D
427,As at 31 October 2023,Kam Loy Company,金來公司,W
428,As at 31 October 2023,Fong Lee Money-Lending Company,方利貸款公司,W
439,As at 31 October 2023,Jointly Money Lending & Trading Company,全利貸款貿易公司,W
446,As at 31 October 2023,Luen Hing Fat Finance Limited,聯興發財務有限公司,W
447,As at 31 October 2023,N. M. Rothschild & Sons (Hong Kong) Limited,羅富齊(父子)香港有限公司,W
459,As at 31 October 2023,Marvellous Finance Limited,,W
469,As at 31 October 2023,Kam-Moon Money Lender Co.,金滿貸款公司,D
473,As at 31 October 2023,Chan Yong Sie & Wong Yee Man & Company,,W
502,As at 31 October 2023,Wai Fat Money-Lending Company,威發貸款公司,D
508,As at 31 October 2023,Ah-ta-me Credit Money Lender Company Limited,熱海信用貸款有限公司,D
516,As at 31 October 2023,Astoria Finance Limited,德興財務有限公司,D
518,As at 31 October 2023,Elders Finance Australia Limited,,W
530,As at 31 October 2023,Hang Fat Trading & Credit Company,恒發貿易及信貸公司,W
533,As at 31 October 2023,Jardine Matheson (Finance) Limited,,W
