Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON GROUP FOREIGN EXCHANGE COMPANY,泰安集團外幣找換公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON GROUP EXCHANGE AND REMITTANCE COMPANY,泰安集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON GROUP EXCHANGE AND REMITTANCE COMPANY,泰安集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON GROUP EXCHANGE AND REMITTANCE COMPANY,泰安集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON GROUP EXCHANGE AND REMITTANCE COMPANY,泰安集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON GROUP EXCHANGE AND REMITTANCE COMPANY,泰安集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI SHING LEE VICTOR TRADING AS LUCKY REMINBI EXCHANGE FOREIGN CURRENCY CO.,戴勝利 營業名稱 幸運人民幣找換匯款,,,,Specified Premises,指明處所,29/11/2023
TAI TONG EXCHANGE LIMITED TRADING AS TAI TONG EXCHANGE,大棠匯有限公司 營業名稱 大棠匯外幣找換行,TAI TONG EXCHANGE,大棠匯外幣找換行,,Specified Premises,指明處所,29/11/2023
TAK LEE MONEY CHANGER LIMITED,德利找換有限公司,,,,Specified Premises,指明處所,29/11/2023
TAM PUI KI TRADING AS GOLD WAN MONEY EXCHANGE COMPANY,譚佩琪 營業名稱 金運兌換店,,,,Specified Premises,指明處所,29/11/2023
"TAM, FUNG YEE TRADING AS SHUN FAT EXCHANGE COMPANY",譚鳯儀 營業名稱 順發找換公司,,,,Specified Premises,指明處所,29/11/2023
TANG CHING FAT ALFRED TRADING AS CHINA MAX ASIA PACIFIC CO.,鄧正發 營業名稱 中沛亞太公司,WORTH-PLUS FOREIGN EXCHANGE,韋帕斯找換,,Specified Premises,指明處所,29/11/2023
TARGETWORLD DEVELOPMENT LIMITED,泰和發展有限公司,,,,Specified Premises,指明處所,29/11/2023
"TCL FINANCE (HONG KONG) CO., LIMITED",,,,,Correspondence Address,通訊地址,29/11/2023
TEEKASATHIAN MONGKOLCHAI TRADING AS THAI FRIEND,泰友營,,,,Specified Premises,指明處所,29/11/2023
TEEKASATHIAN MONGKOLCHAI TRADING AS THAI FRIEND,泰友營,,泰友營,,Specified Premises,指明處所,29/11/2023
TEIN SHUN EXCHANGE,天信人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
