Seq,Comp_Name_Eng,Comp_Name_Chi,CR_No,Direction_Issue_Date
1,"CDE Limited","","3011281"," 31-03-2021"
2,"CHINA OVERSEAS CHINESE TECHNOLOGY INDUSTRY CO., LIMITED","中僑科技實業有限公司","2988191"," 31-03-2021"
3,"CHINA OVERSEAS HOLDING GROUP LIMITED","中國海外控股集團有限公司","2986269"," 31-03-2021"
4,"COSMETIC WARRIORS LIMITED","化妝品武士有限公司","2899025"," 02-03-2021"
5,"DONGPENG BATHROOM HK GROUP LIMITED","東鵬衛浴香港集團有限公司","2943541"," 18-03-2021"
6,"EMPEROR INVESTMENT AND TRADE CO., LIMITED","英皇投資貿易有限公司","1426508"," 11-11-2010"
7,"FRANCE L'OREAL COSMETICS INT'L GROUP (HK) LIMITED","法國歐萊雅化妝品國際集團(香港)有限公司","1292493"," 08-06-2009"
8,"Feihe Group (Hong Kong) Limited","飛鶴集團(香港)有限公司","3019069"," 19-04-2021"
9,"GERMANY BAOMA FINERY LIMITED","德國寶馬服飾有限公司","1300900"," 11-01-2010"
10,"GUANGZHOU SIEMENS ELECTRICIAN GROUP LIMITED","廣州西門子電工集團有限公司","1408403"," 08-06-2010"
11,"HK ALI KANGMEI HEALTH GROUP CO., LIMITED","香港阿里康美健康集團有限公司","2864606"," 31-03-2021"
12,"ITALY CROCODILE FINERY (OFISH) LIMITED","意大利鱷魚服飾(澳魚)有限公司","1385341"," 21-10-2010"
13,"ITALY DONGTAO CERAMIC INT'L INDUSTRY LIMITED","意大利東陶陶瓷國際實業有限公司","1289856"," 20-08-2010"
14,"Italy Armani Fashion International Group (HongKong) Co., Limited","意大利阿瑪尼服飾國際集團(香港)有限公司","1333669"," 22-03-2010"
15,"JAPAN SANYO ELECTRIC APPLIANCE LIMITED","日本三洋電器有限公司","1433041"," 28-09-2010"
16,"NEGRO (HK) INT'L INDUSTRY LIMITED","黑人(香港)國際實業有限公司","1382805"," 24-08-2010"
17,"PARIS L'OREAL CHEMICAL INTERNATIONAL CO., LIMITED","巴黎歐萊雅日化國際有限公司","1364068"," 01-04-2010"
18,"PARIS LOREAL COSMETIC INT'L GROUP HOLDING LIMITED","巴黎歐萊雅化妝品國際集團控股有限公司","1261709"," 08-06-2009"
19,"Qiming Electronic Commerce Co., Limited","啟明電子商務有限公司","3006769"," 13-04-2021"
20,"SANYO ELECTRIC (GROUP) CO., LIMITED","三洋電器(集團)有限公司","1288018"," 14-08-2009"
21,"SHANG HAI GUAN LONG VALVE MACHINERY CO., LIMITED","上海冠龍閥門機械股份有限公司","2947393"," 16-03-2021"
22,"SHANGHAI XIANGPIAOPIAO FOOD DRINKS CO., LIMITED","上海香飄飄食品飲料有限公司","2742398"," 19-02-2021"
23,"SHUNTEC (HK) TECHNOLOGY LIMITED","信德（香港）科技有限公司","2994489"," 16-03-2021"
24,"STYLUSTEK TECHNOLOGIES CO., LIMITED","觸控科技(香港)有限公司","2929880"," 16-03-2021"
25,"XINDE (HONGKONG) TRADE CO., LIMITED","信德(香港)貿易有限公司","2935014"," 16-03-2021"
